count;max;time_frame
540438;2015-05-04 00:19:03.250429;0
557534;2015-05-09 12:20:17.165875;1
611638;2015-05-18 00:45:59.68376;2
645979;2015-05-25 02:26:15.821959;3
704614;2015-06-01 00:07:56.508747;4
745729;2015-06-08 00:21:54.115916;5
759989;2015-06-15 01:36:54.194126;6
780762;2015-06-22 00:22:22.262551;7
815899;2015-06-29 00:13:11.241465;8
848786;2015-07-06 00:06:12.379767;9
898474;2015-07-13 00:43:39.597906;10
910525;2015-07-20 00:35:15.537034;11
935994;2015-07-27 01:31:26.657663;12
947576;2015-08-03 01:22:18.534246;13
959450;2015-08-09 18:00:30.697664;14
1002812;2015-08-17 00:30:41.644963;15
1012827;2015-08-24 02:51:36.81056;16
1050779;2015-08-31 00:00:52.845761;17
1057681;2015-09-07 00:03:20.920305;18
1061008;2015-09-14 00:34:44.719745;19
1061131;2015-09-21 00:00:18.497503;20
1063095;2015-09-27 18:00:21.943955;21
1063584;2015-10-03 18:00:19.49349;22
1065531;2015-10-10 18:20:50.015389;23
1066566;2015-10-18 06:00:05.375869;24
1066607;2015-10-23 00:01:32.854832;25
1146839;2015-11-02 04:00:39.6971;26
1176715;2015-11-09 00:08:53.645097;27
1190405;2015-11-16 00:11:21.450802;28
1194306;2015-11-21 18:34:44.85157;29
1197512;2015-11-28 18:00:04.315558;30
1207022;2015-12-07 00:56:23.374906;31
1210171;2015-12-13 18:29:53.114072;32
1219566;2015-12-21 00:07:23.219158;33
1223509;2015-12-28 00:00:31.401646;34
1230031;2016-01-04 00:07:42.276393;35
1233276;2016-01-10 12:00:02.987686;36
1235968;2016-01-17 18:03:22.68442;37
1236430;2016-01-24 18:04:37.370966;38
1238873;2016-01-31 00:00:03.018843;39
1259270;2016-02-08 01:19:01.291784;40
1273404;2016-02-15 00:20:27.556806;41
1304485;2016-02-22 01:18:37.131591;42
1314721;2016-02-28 06:12:35.972123;43
1321206;2016-03-07 00:44:29.622728;44
1333206;2016-03-14 00:41:06.498197;45
1333349;2016-03-14 18:45:29.525878;46
1430652;2016-06-23 11:56:54.125993;47
1512784;2016-07-12 10:34:07.524498;48
1588755;2016-07-22 06:08:15.368315;49
1855053;2016-12-01 02:25:39.181858;50
1855053;2016-12-01 02:25:39.181858;51
1861924;2017-05-12 14:51:01.642426;52
2000000;2018-01-31 12:07:54.692959;53
2000000;2018-05-02 12:49:15.699285;54
2000000;2018-05-21 13:16:05.164207;55
2951000;2018-09-06 13:16:05.164207;56
